#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415BCB4A5
#Date Time: 2026-05-26 15:37:38.167
#Start: 40120.6 Hz
#Stop: 107226 Hz
#Steps: 501
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.08906 V
#Offset: -0.000338471 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
47511.68252779624,-44.82129270703628,-24.00222980766827
47605.18728557848,-44.92213297149588,-21.03782115993638
47698.8760642007,-44.57894472934466,-25.31865616463702
47792.74922582276,-45.65450666923282,-17.29674836116419
47886.80713331726,-45.24296899163585,-21.39535246325899
47981.05015027094,-45.54538717813905,-18.38817863697304
48075.47864098613,-45.47016724168709,-27.00212358637078
48170.09297048205,-44.97374344553933,-19.22358266298633
48264.89350449634,-45.16081420403929,-22.20676860903584
48359.88060948642,-44.28636080135007,-21.72854756058365
48455.05465263092,-45.24094120247081,-18.68503672359753
48550.41600183104,-44.76018746930528,-15.23715672062758
48645.96502571211,-45.62922992719143,-19.37965273651761
48741.70209362485,-45.65872975345204,-22.83907734258489
48837.62757564692,-46.85963025068248,-23.88201855545765
48933.74184258428,-44.27056853922609,-22.93318154522087
49030.04526597267,-46.46943026942135,-18.35349283367373
49126.53821807903,-45.55957954868022,-27.82126509422676
49223.2210719029,-46.63413316510582,-12.30288140859349
49320.09420117793,-45.59100877971652,-11.58374583937059
49417.1579803733,-45.04313216715029,-19.97299928616309
49514.41278469512,-44.96639274189712,-20.06087865037741
49611.85899008795,-45.08700805383378,-22.96044694206138
49709.4969732362,-46.5367795290485,-21.08962361639235
49807.32711156565,-45.6482436137951,-25.85737170609329
49905.34978324483,-46.06921906329286,-31.78767446213345
50003.56536718653,-45.7278978728536,-30.56482023597759
50101.97424304925,-45.97863297576551,-31.34516738168868
50200.57679123868,-44.97832726778677,-17.8339129573372
50299.37339290916,-43.58180186329187,-18.36226726707169
50398.36442996516,-45.10374325796012,-24.46828985614962
50497.55028506276,-43.91288213627349,-19.05046407534037
50596.93134161108,-44.70156679335081,-19.52030216022852
50696.50798377386,-45.69368394173055,-11.36339897955705
50796.28059647085,-44.03290464345751,-17.23651470067338
50896.24956537933,-45.25567025645955,-19.26646216560908
50996.41527693566,-44.04862862288433,-18.65106388680132
51096.77811833666,-44.98764122804693,-16.16865273231326
51197.33847754121,-45.40209464021216,-17.70823153006924
51298.09674327169,-43.69479847856181,-12.22224500357127
51399.05330501548,-45.50026565751861,-21.6391332927063
51500.20855302654,-45.92983985682555,-25.56183807938849
51601.5628783268,-44.74145568308076,-15.0106664433216
51703.11667270779,-44.91054296370528,-18.37676597300028
51804.87032873207,-44.04542719918496,-27.33270832836061
51906.82423973479,-44.80655186488258,-17.9354854546452
52008.97879982518,-44.21850430737454,-19.23289569160397
52111.33440388812,-43.60322974341347,-13.04325131642113
52213.89144758561,-44.87933441076201,-19.75445026839955
52316.65032735834,-44.64568102906113,-11.41867324454179
52419.61144042724,-44.40306481985328,-27.14041027283771
52522.77518479492,-44.85768349982811,-28.32509505266187
52626.14195924732,-44.02769810503082,-20.70399196618914
52729.71216335521,-43.90938263962363,-19.16062304769099
52833.48619747569,-43.90428793640761,-9.597251049393179
52937.46446275384,-43.71088847676005,-8.43805242250005
53041.64736112414,-44.9901270657945,-14.32545161713714
53146.03529531213,-44.53996191855224,-24.3172129074076
53250.62866883594,-43.27325326865525,-14.87777952844661
53355.4278860078,-43.9107395149717,-25.56790079931102
53460.43335193569,-43.37206688879068,-15.03190424411656
53565.6454725248,-42.98775612229582,-14.72077787109819
53671.0646544792,-43.30179277075617,-17.04664063156611
53776.69130530336,-43.91993145744274,-14.87275835712737
53882.52583330372,-43.4002216411022,-18.09548076021515
53988.5686475903,-43.47840080954467,-20.83292546569094
54094.82015807826,-42.90105587484521,-16.46099277611876
54201.28077548945,-42.56208023692973,-21.01954602641517
54307.95091135413,-41.26449216904837,-14.2514706005002
54414.83097801237,-41.4684354595516,-17.4247688618922
54521.92138861577,-40.8478564390787,-14.58185415448364
54629.22255712905,-39.94762162625835,-14.64216062130242
54736.7348983316,-39.24844785181322,-14.4372581265104
54844.45882781915,-37.7534755046274,-16.63166520889239
54952.39476200529,-36.35210258500882,-15.40468080263248
55060.54311812315,-33.20838639466972,-20.18715033879995
55168.90431422701,-28.73516834093643,-31.74144398718826
55277.47876919385,-23.37771576450677,-107.0953416214624
55386.26690272505,-32.40089663465226,-161.9614588322253
55495.26913534797,-38.90914791153146,-168.2268415366778
55604.48588841759,-44.59162513815337,-169.7896117460129
55713.91758411813,-48.23724092757459,-151.7311593159521
55823.56464546467,-53.39163009761756,-151.0535622199218
55933.4274963048,-58.22639288242823,-124.1321247581189
56043.50656132028,-58.10503490397315,-123.6835140377188
56153.80226602864,-56.46453914623166,-80.86801075663192
56264.31503678486,-65.43507444597884,-49.36375721201745
56375.04530078298,-55.71800961558946,-36.80991282570338
56485.9934860578,-55.62589798316981,-66.23041024467234
56597.16002148647,-54.68638516723314,-40.57252496060207
56708.54533679025,-53.76374495807091,-37.92811419461287
56820.14986253605,-49.27829516093628,-44.42472991279244
56931.97403013816,-56.33408027119958,-5.107794440339745
57044.01827185993,-49.95520134834482,-19.34771078518277
57156.28302081541,-51.68313250670612,-26.62359084568581
57268.76871097105,-50.78622400097154,-40.51381250535449
57381.47577714732,-50.07145629325517,-29.45405851975455
57494.40465502046,-51.04396225663336,-28.34590065179655
57607.55578112416,-51.73872872158847,-32.08876717673087
57720.92959285119,-51.23207193941812,-7.086130096152687
57834.52652845513,-51.2016668198416,-24.5236786894975
57948.34702705206,-50.70874299964284,-26.63596891384967
58062.39152862228,-51.29674683426628,-25.01226818172447
58176.66047401198,-50.34417626667769,-18.03310476123571
58291.15430493492,-48.38349733518805,-24.43953680094045
58405.87346397419,-48.44868305032869,-25.09185145769183
58520.81839458393,-51.31670251313375,-26.58506420405453
58635.98954109094,-49.3644730513347,-18.12458910140245
58751.38734869655,-49.64743023259675,-35.5983926963291
58867.01226347822,-50.81967191265599,-24.43771226282249
58982.8647323913,-49.07806867291779,-29.35180101253772
59098.94520327082,-48.63627618566629,-29.6708282815914
59215.2541248331,-48.60902854489593,-3.573013877646403
59331.79194667758,-50.55052043587391,-22.05872636954588
59448.55911928853,-48.59336480188372,-10.63345721515097
59565.5560940368,-47.02294200113915,-19.63190314437087
59682.78332318152,-48.38076103411265,-22.81464098717998
59800.24125987191,-49.0980033714974,-13.6998691081678
59917.93035814899,-47.91326498443715,-15.23092273699837
60035.85107294736,-50.24731787547435,-16.21666925902809
60154.00386009696,-49.27932962534258,-22.88495478494249
60272.38917632481,-51.37069218201784,-32.94057309873235
60391.00747925676,-46.05236665529983,-22.01074558079404
60509.85922741931,-48.19135285762191,-17.68168087381299
60628.94488024138,-48.78428218330128,-28.94316920630841
60748.26489805599,-48.66627161034871,-6.389289209694271
60867.81974210221,-48.22898324319033,-13.98874027218743
60987.60987452676,-48.7672614853407,-27.36118500953329
61107.63575838593,-48.44893431269612,-16.59738242998301
61227.8978576473,-47.47352376754041,-35.47826715645055
61348.39663719158,-46.8031167356523,-36.37552168727358
61469.13256281437,-48.65281814833062,-5.839822243444587
61590.10610122795,-49.27742146011065,-14.60257036686903
61711.31772006312,-49.35254289693623,-16.65313611444797
61832.76788787103,-47.37077678902092,-14.71631097635577
61954.45707412491,-49.2397396300297,-30.14915784045822
62076.38574922197,-48.78942804323313,-17.49489176545809
62198.55438448513,-47.2167011524097,-12.80088565874998
62320.96345216494,-47.41160536151369,-15.40448456374511
62443.61342544133,-48.71215370813125,-26.36141404894629
62566.50477842545,-46.97215170926815,-18.59905971770598
62689.63798616157,-47.80438781985467,-25.05952227797127
62813.01352462883,-46.05074114657512,-10.64216380771612
62936.63187074311,-48.21163003459888,-28.18373210943656
63060.49350235886,-47.64406844239861,-8.424394612240775
63184.59889827106,-46.85426022598597,-10.94518595423531
63308.94853821686,-49.19101170850024,-28.84295793782389
63433.54290287761,-50.71765376794791,-25.67528927375383
63558.38247388064,-50.79761313699357,-24.31627023123951
63683.46773380117,-49.07144113535736,-14.87916052383751
63808.7991661641,-50.19983604159134,-14.46987670854439
63934.37725544597,-46.60616413653977,-15.552134032903
64060.20248707675,-48.70421730355622,-17.73109778742659
64186.27534744179,-49.67291927549502,-7.332867765292328
64312.59632388364,-51.80267872744594,-23.13780147233557
64439.16590470396,-47.69744345231484,-23.59237955333391
64565.98457916543,-46.62288053927621,-20.71932457112757
64693.05283749356,-49.06716432064884,-14.26734019775259
64820.37117087869,-50.92473511885625,-10.25221673713649
64947.94007147787,-48.81516502127505,-18.60193798897923
65075.76003241665,-51.74090818194227,-17.99418955693389
65203.83154779112,-50.5101543061571,-13.93416525760807
65332.15511266977,-49.24399039030546,-17.30296837788187
65460.73122309541,-46.89174460679607,-19.52106028829036
65589.56037608706,-48.86078951277062,-9.714118457456664
65718.64306964187,-48.52913637755552,-10.08997990528331
65847.97980273713,-48.98741545617955,-4.96752213665048
65977.57107533206,-48.61861148551362,-9.023083020362265
66107.41738836991,-48.57880689210362,-20.52561089192844
66237.51924377974,-48.95097809893159,-28.0264558095453
66367.87714447842,-47.52991338185176,-20.13936627044478
66498.49159437261,-48.42556580571352,-9.767193573931053
66629.36309836067,-50.15761822643534,-28.03079787673937
66760.4921623346,-49.70914266516841,-11.9266030704005
66891.87929318205,-48.61143237670105,-15.89720423344833
67023.5249987882,-46.8618990614258,-18.6237627385851
67155.42978803781,-48.55407848565563,-17.09988181971839
67287.59417081712,-49.47043455840485,-26.97141759899563
67420.01865801583,-46.39139740724984,-18.88976421069948
67552.70376152912,-48.1698520253847,-12.99420063969019
67685.6499942596,-47.05804011686823,-9.699398403519456
67818.85787011926,-47.5183483359617,-22.96379428661802
67952.32790403151,-48.70081176237923,-11.85095566585365
68086.06061193316,-47.77370918293645,-9.197146461130632
68220.05651077637,-47.21768937456254,-23.92634564117793
68354.31611853071,-49.95531146780689,-18.59853972049979
68488.83995418511,-50.88066386150268,-10.76789656448121
68623.62853774992,-48.69772974378671,-9.062668055992702
68758.68239025885,-49.28517686355509,-15.27507342964941
68894.00203377106,-49.26274865825349,-17.2332890407405
69029.58799137313,-50.36234304754885,-27.21183405263211
69165.44078718108,-49.15742327000548,-4.038095351504808
69301.56094634242,-48.13733676980755,-7.111160730200936
69437.94899503818,-49.061279388366,-6.37368521487241
69574.60546048492,-48.28442512465782,-22.99169124638569
69711.53087093678,-47.0092979995257,-28.0100069130625
69848.72575568753,-48.33908102761697,-4.510718930931901
69986.19064507262,-47.59836536990538,-16.44065929615152
70123.92607047122,-51.01105731393994,-9.358831769143315
70261.93256430824,-49.44610098289349,4.638487274858917
70400.21066005644,-48.09381867262572,-5.148894132060121
70538.76089223851,-47.24173536449604,-5.042256062139643
70677.58379642907,-47.46982310171512,-12.6298167987682
70816.67990925674,-48.63164107827181,-9.591447901010781
70956.04976840629,-47.35565267852046,-7.328430268547066
71095.69391262066,-46.69917875509328,-2.840840845348993
71235.61288170304,-48.54815074472359,-17.63869303508125
71375.80721651904,-48.48709137028937,-8.87233487866699
71516.27745899861,-49.5649041765996,-14.47954639063109
71657.02415213831,-47.56582931321682,-1.474878126302613
71798.04784000333,-47.82055983740173,-16.48752731161717
71939.34906772956,-49.71863888484648,-13.21214049121011
72080.92838152579,-47.64181535160193,-19.68904444906141
72222.78632867573,-50.29663352957175,-15.07183240469192
72364.92345754019,-49.33400988733459,5.679404181484045
72507.34031755918,-49.30347936205064,-7.088613669976596
72650.03745925397,-48.95226622596677,-10.57029718231882
72793.01543422937,-47.14579345354363,-5.997287429658421
72936.27479517568,-46.87122213494217,-14.12017954318571
73079.81609587096,-48.67850878863517,-11.18508811898371
73223.63989118315,-47.32967230269325,-25.55752140561823
73367.7467370721,-48.68124204286283,-6.142428696261135
73512.13719059192,-48.99478669061548,-18.98170563200924
73656.81180989296,-50.12355389153097,-21.65514293651401
73801.77115422404,-47.40980744387267,-10.926474888507
73947.01578393461,-49.78170278066191,-14.78950959073694
74092.54626047688,-49.66520488715591,-18.98441425556692
74238.36314640808,-48.66725894168767,-2.563333792471454
74384.46700539252,-49.50099556444286,-13.62266603772899
74530.85840220384,-48.20037264486326,-26.30026734972216
74677.53790272717,-48.34458759462574,-12.59425503994839
74824.50607396133,-48.43553030084779,-4.690783058651576
74971.76348402099,-48.64928057036474,-0.5091022584945506
75119.31070213897,-47.1883016394402,-9.256401201186009
75267.14829866825,-47.86616710643396,-11.65922533077094
75415.27684508437,-51.35170429134079,0.2128819154791373
75563.69691398751,-48.03947884011432,-6.202575901318795
75712.40907910478,-47.96871501805487,-21.5999494311259
75861.41391529237,-51.17465553223988,-10.53618847690709
76010.71199853784,-48.43238158472776,-11.30829342845083
76160.30390596231,-46.33872454174288,-13.09580865323932
76310.19021582266,-49.2245041499909,-14.53584865077623
76460.37150751386,-48.96819984043279,-17.02073291166241
76610.84836157112,-51.13982292848605,-13.13884582673735
76761.62135967215,-47.58543412902783,-3.610523582306056
76912.69108463945,-48.15932844776726,2.739713024735948
77064.05812044251,-47.84207633729493,1.282331925246496
77215.72305220013,-50.39396131662902,-3.139963858741009
77367.68646618263,-49.86580308274636,-3.840618398778119
77519.94894981409,-49.80345957725539,-2.881753504187287
77672.51109167474,-48.34845443351655,-20.61079819302714
77825.37348150309,-48.33207943174471,-16.17067990686778
77978.53671019833,-48.36134469138736,1.166201650667375
78132.00136982249,-50.00040267557938,-1.7855570943712
78285.76805360289,-46.83823824892588,-14.50460356420783
78439.83735593429,-48.7878060227355,-15.73686013262437
78594.20987238125,-47.19363102272021,-16.76709963988999
78748.8861996804,-47.09496709928438,-11.75086412112584
78903.86693574282,-48.73220267113805,-15.22610062771578
79059.15267965625,-49.00798457703225,-10.5579058488097
79214.74403168753,-48.04183655774392,-6.813818071781128
79370.64159328473,-47.80285652450203,-4.782683114440857
79526.84596707973,-50.66293775433628,-10.55604144393729
79683.3577568903,-48.16433279881981,3.735876066756447
79840.17756772258,-48.66488347218257,-15.27641024662472
79997.30600577344,-48.0093974867593,-6.412952521392228
80154.74367843269,-50.75681229438917,-6.930484780188422
80312.49119428553,-50.41676343169723,-15.39440480789939
80470.54916311491,-49.49400641030938,-10.4632410891634
80628.91819590381,-45.48371036439327,-10.91211628896858
80787.59890483768,-46.95270767826329,2.295640625115375
80946.59190330675,-48.1873816046383,-16.24886103817012
81105.89780590845,-48.50527096135053,0.6150806973706437
81265.51722844975,-48.92675553440686,-12.89905373664543
81425.45078794952,-48.99369519092384,1.093445658740166
81585.69910264103,-47.1117554898056,-5.532377438908668
81746.26279197415,-49.50443753660203,8.823203173783725
81907.1424766179,-50.7290804476765,-14.310550551867
82068.33877846283,-47.66047448379705,-8.51386029310936
82229.85232062335,-47.57086314577517,3.91010926938236
82391.68372744021,-49.29338913371623,-21.06271778535102
82553.83362448284,-48.01355977109434,13.38923103282656
82716.30263855189,-49.26535916389397,-19.69594660518375
82879.09139768149,-47.98081808774229,-0.07715247222902022
83042.20053114183,-48.5907616319053,-3.164208247766858
83205.63066944151,-49.01230748026017,-7.257824682608089
83369.38244432998,-47.36012859972473,-4.953584315822127
83533.45648880002,-50.23433685371641,-0.04726125668761938
83697.8534370901,-49.22571805553721,-8.3043068722925
83862.57392468702,-50.3364556551641,-18.97239275998506
84027.61858832813,-48.78972198902869,-11.9910877428598
84192.98806600391,-48.32460284625319,-17.58853695025313
84358.68299696049,-48.58434595540886,-4.070365439198611
84524.70402170203,-49.16926991633265,-16.03614547138899
84691.0517819932,-50.20581257386965,12.77380065295347
84857.72692086172,-48.37996490826892,2.459200401459469
85024.73008260083,-47.79740371553495,0.7873217637494747
85192.06191277169,-47.74487898085462,2.712508340631999
85359.72305820603,-47.56486408125843,-19.76612602169186
85527.71416700851,-49.93337777098762,4.376535955990221
85696.03588855933,-52.74047929285609,-19.69626556782758
85864.68887351664,-46.8489637416797,-17.08478407684737
86033.67377381917,-48.51767867473561,-3.57656939378839
86202.99124268866,-50.13581357247021,13.64666447492522
86372.6419346324,-49.0877553869089,-7.128594058221339
86542.62650544578,-47.82738873649456,0.3292816417751148
86712.94561221485,-49.63525210337618,10.19788056881433
86883.59991331882,-48.63100111835518,-4.856812092536217
87054.59006843256,-50.82173050022904,10.68614087798093
87225.9167385293,-48.91033494436576,-0.04062178419725626
87397.58058588301,-48.47520653013872,-0.4204096683229821
87569.58227407109,-47.58062058531139,-6.148815275698183
87741.92246797682,-50.94971661592118,-0.05809599889628814
87914.60183379208,-49.58483508387328,-14.50728645348514
88087.62103901978,-48.36536028728482,-2.705375312415072
88260.98075247653,-50.92043215896187,-9.747100053970659
88434.68164429518,-48.60488827740664,-7.114444191863743
88608.72438592743,-49.38431378501393,-10.0344651714061
88783.10965014643,-49.03624053453413,-13.49080155783953
88957.83811104936,-50.26962328298965,-24.1779413263549
89132.91044406006,-48.03957345862112,-4.430860699152731
89308.3273259316,-50.55180147721078,2.386158069353186
89484.08943474901,-48.34258287223921,11.98138082516829
89660.19744993169,-48.37394260584168,-0.4539250026020056
89836.65205223626,-48.38617671933777,-6.415741235245896
90013.45392375905,-47.75446414325508,1.009348995615085
90190.6037479388,-45.98214241286131,-0.7060463203044662
90368.10220955928,-48.81657429979992,-8.991627784873046
90545.94999475194,-48.80475867235663,-1.719053591901613
90724.14779099854,-50.54784926112228,13.36811241999176
90902.69628713386,-50.83449243664651,3.531591469932827
91081.59617334833,-46.96749450600794,-14.25863141606555
91260.84814119067,-47.90999335599345,-9.710599454166863
91440.45288357063,-49.3208038563343,-11.67174833201952
91620.41109476161,-47.07358436119733,-1.194962252463953
91800.72347040338,-49.73792061607207,10.80484431386266
91981.39070750475,-46.116700532145,-3.79677639645832
92162.41350444625,-48.29359257611572,-15.84790918165504
92343.79256098287,-50.11252610654681,-15.96977099260994
92525.52857824675,-47.23385743064583,-4.417768582803689
92707.62225874988,-49.77096664970578,-0.5912131214525544
92890.07430638678,-49.66347949546464,8.601235921636679
93072.88542643732,-48.3694214141456,-3.576278439028286
93256.05632556937,-48.70055194703469,-7.340580524124814
93439.58771184154,-47.84155213481548,8.773953879316394
93623.48029470588,-49.28693363713932,2.474973816564471
93807.73478501075,-49.0482114906341,13.48939591327266
93992.35189500346,-48.34778720549458,10.71486228729822
94177.33233833301,-48.64403485382404,-14.14210293598362
94362.67683005294,-47.66713611863044,12.94288898596996
94548.386086624,-49.21944594989129,-5.519921103092649
94734.46082591699,-51.47380256019424,10.41526401869619
94920.90176721549,-50.59016581116884,-2.737293137753028
95107.70963121866,-47.88299952983429,-3.203451894700152
95294.88514004405,-47.14375640098831,3.722640624607877
95482.42901723032,-47.25364875297375,-10.51682394480092
95670.34198774009,-46.84139778043089,-5.694909352359915
95858.62477796276,-47.10296380063981,17.20125628513745
96047.27811571727,-48.93699764791912,-4.95573290518918
96236.30273025495,-48.68058888227017,14.0918280259782
96425.69935226229,-51.64645494574952,3.808745151950006
96615.46871386385,-47.88856607134235,-8.975353488212235
96805.61154862501,-48.44375145757589,14.00952696453741
96996.12859155481,-48.88907345409635,-8.161881737436332
97187.02057910884,-51.96036006136144,-1.085828026544581
97378.2882491921,-48.85541019730501,1.808748650244432
97569.93234116174,-50.92413716704061,-2.232713659136891
97761.95359583004,-48.29822184444703,-3.860779228118091
97954.3527554672,-47.04134589259962,11.4034853181189
98147.13056380428,-47.62403399115829,21.16833299075877
98340.28776603598,-49.22190081770821,-0.9044278427895094
98533.8251088236,-47.31527138511385,-1.841242290576901
98727.74334029788,-48.92686222349802,8.551546952878226
98922.04321006191,-49.58105501966854,10.20881063595721
99116.72546919406,-52.49585386451677,5.958400382277809
99311.79087025081,-47.74680913255325,3.902086808997119
99507.2401672697,-46.30753129743356,-5.416852233709164
99703.07411577228,-51.52720443044022,-1.136956490990244
99899.29347276695,-51.16449478733443,10.17068324625703
100095.898996752,-48.93825571324853,-1.334132242225389
100292.8914477183,-49.78548322132021,2.171293677841724
100490.2715871527,-46.16979424275976,7.121310176374294
100688.0401780405,-49.17919597911589,-4.695115568251566
100886.1979848684,-45.6671332133367,4.95792447840271
101084.7457736281,-48.60898942939487,-10.36379853482386
101283.6843118184,-52.96203175647365,-2.067808753342206
101483.0143684488,-46.07740336138033,18.426533239184
101682.736714042,-49.07869156720875,20.72326989289519
101882.8521206374,-50.70615720180864,23.4755570016011
102083.3613617936,-50.75579332479172,-31.58774334362625
102284.2652125917,-49.02510282022159,9.915790049134287
102485.5644496381,-45.77953425090086,0.6147136831682047
102687.2598510677,-47.94798534943068,2.996487370950192
102889.3521965467,-50.51709344516358,-14.96486918768046
103091.8422672758,-47.40445287335839,1.144000751320561
103294.7308459929,-51.58503492505976,-38.12094381020813
103498.0187169768,-49.93946405153724,-6.418350873939993
103701.7066660493,-48.19717920993283,3.015927308866139
103905.7954805791,-47.11829612721584,20.21641441110934
104110.2859494842,-48.66512482208441,23.65098674763298
104315.1788632355,-49.22886371448294,-2.382046634239495
104520.4750138593,-47.38832383468645,9.839981823862274
104726.1751949408,-49.300283653617,12.37998128502085
104932.280201627,-48.92398129654299,-3.860370842485185
105138.7908306297,-49.92694499036328,-3.435222163684529
105345.7078802287,-48.94506407982311,9.190584377431009
105553.0321502748,-49.97990376135454,5.845113015456434
105760.764442193,-47.72080942883211,-7.293845052529292
105968.9055589856,-47.91914760713104,1.471420179558095
106177.4563052352,-48.16217953417235,4.171426294781213
106386.4174871076,-48.63568036819818,-12.4292024008891
106595.7899123554,-47.7163513666171,10.02380499553948
106805.574390321,-45.78525247587444,-0.8023395626031515
107015.7717319394,-54.18739309405219,-25.82438160717841
107226.3827497416,-48.51922464134353,1.645475259362104
